"שם מוצר","מק""ט",כמות,"יחידת מידה","האם מגיע במארז","צורת מארז","יחידת מידה במארז","מספר פריטים במארז",קטגוריה,ספק,"מחיר מחירון","אחוז הנחה",פיקדון,מיסים,"מוצר חייב במע""מ","צורת ספירת מלאי","ברקוד יצרן","הגבלת כמות להזמנה"
"שוקולד חלב 92%מוצקים 5 ק",3809172,5,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",319.99,0,0,,כן,מוצר,,
"שוקולד לבן קליבו 10 ק״ג",5410522230925,10,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",629,0,0,,כן,מוצר,,
"נייר תעשייתי",,1,יחידות,לא,,,,"חד פעמי ואריזות","מפעל המרכז",40.68,0,0,,כן,מוצר,,
כפפות,,1,יחידות,לא,,,,"חד פעמי ואריזות","מפעל המרכז",88.9,0,0,,כן,מוצר,,
"עוגה בסקית",,1,יחידות,כן,מארז,יחידות,1,"יבשים וקונדיטוריה","אני אפיתי",160,0,0,,כן,מוצר,,
כללי,99,1,יחידות,לא,,,1,כללי,"און גז",384.615,0,0,0,כן,מוצר,,
"ספרייט ZERO 6 פח FRIDGE-PACK מבצע",30234,330,"מ""ל",כן,ארגז,פחיות,6,"משקאות קלים","החברה המרכזית למשקאות בעמ",56.87,4.11,0,,כן,"מארז + יחידת מידה במארז",7290013585967,
"מי טוניק  בקבוק",3005029,275,"מ""ל",כן,קרטון,בקבוקים,24,"משקאות קלים",טמפו,78.3769,0,6.15,,כן,"מארז + יחידת מידה במארז",7290008464635,
"פפריקה מעושנת 1 ק""ג",261192,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",20.34,0,0,,כן,מוצר,,
מרקטמן,999,1,יחידות,לא,,,1,"שירותי מחשב ותוכנה",מרקטמן,550,0,0,0,כן,מוצר,,
"חומץ חום 5% 4 ליטר",1050101,1,ליטר,כן,מארז,יחידות,4,"יבשים וקונדיטוריה","שופרסל אמיגה",6.44,0,0,,כן,מארז,,
כללי,,1,יחידות,כן,מארז,יחידות,1,כללי,"מפעל המרכז",10,0,0,,כן,מארז,,
ברוקולי,99999,1,"ק""ג",לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",10,0,0,,לא,שקיל,,
"תפוח אדמה לבן",3,1,קרטון,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",30,0,0,,לא,שקיל,,
"סירופ מייפל 600 גרם מיטב",10244,600,"מ""ל",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",9.4,0,0,,כן,מוצר,,
"אבקת סוכר 1 קילו",150064,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",5.1,0,0,,כן,שקיל,,
"פירה קנור 750 גרם",169682,750,גרם,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",24.89,0,0,,כן,שקיל,,
"טמפורה 1 ק״ג (גואנגדונג)",17214,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",11.41,0,0,,כן,מוצר,,
"ארטישוק איטלקי שלם בשמן 2.45 קילו",7290003025404,2.45,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מיגם יבוא בעמ",65,0,0,,כן,מוצר,,
"חמוציות חתוך שקיל 1",7290117321621,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",22,0,0,,כן,מוצר,,
"נייר אלומניום 4550 מטר 18 מיקרון יחידה",715602,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,32.88,0,0,,כן,מוצר,,
"טבסקו סריארצה 566 גר",10315566,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",20.51,0,0,,כן,מוצר,,
"משחת כלים ירוק 18 קילו",909090,18,"ק""ג",לא,,,1,"חומרי ניקוי","מפעל המרכז",60,14.53,0,,כן,מוצר,,
"כלור בטעם לימון",909091,1,יחידות,לא,,,1,"חומרי ניקוי","מפעל המרכז",5,14.53,0,,כן,מוצר,,
"כוס קר",909095,1,יחידות,לא,,,1,"חומרי ניקוי","מפעל המרכז",1.667,14.53,0,,כן,מוצר,,
"שקיות אשפה 75/90 (2קילו)100 שקיות",909096,1,יחידות,לא,,,1,"חומרי ניקוי","מפעל המרכז",12.5,14.53,0,,כן,מוצר,,
"שקיות אשפה 75/90 (800גרם)",909097,1,יחידות,לא,,,1,"חומרי ניקוי","מפעל המרכז",5.5,14.53,0,,כן,מוצר,,
"מסיר שומן מתז נוזלי",909098,1,יחידות,לא,,,1,"חומרי ניקוי","מפעל המרכז",6.5,14.54,0,,כן,מוצר,,
"מגב 40 ס״מ",909099,1,יחידות,לא,,,1,"חומרי ניקוי","מפעל המרכז",5,14.54,0,,כן,מוצר,,
מטאתה,909010,1,יחידות,לא,,,1,"חומרי ניקוי","מפעל המרכז",5,14.54,0,,כן,מוצר,,
"נילון נצמד 300 מטר",909011,1,יחידות,לא,,,1,"חומרי ניקוי","מפעל המרכז",24,14.53,0,,כן,מוצר,,
"נייר כסף 50 מטר 18 מיקרון",909012,1,יחידות,לא,,,1,"חומרי ניקוי","מפעל המרכז",23,14.53,0,,כן,מוצר,,
"מנקה חלונות",909013,1,יחידות,לא,,,1,"חומרי ניקוי","מפעל המרכז",6.5,14.54,0,,כן,מוצר,,
"חמאה 200 גרם תנובה",43111,0.2,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",8.55,0,0,,כן,מוצר,,
"מלח מטבח גס לבישול 1 ק״ג",4063115,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",1.29,0,0,,כן,מוצר,,
"אסאדו עגל",1042,1,"ק""ג",לא,,,1,בשר,"ביאצה מפעל למעדני בשר בעמ",47,0,0,,כן,מוצר,,
"מיונז כחול 5 ק״ג",101010,5,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",49,0,0,0,כן,מוצר,,
"רוטב סריראצה 481 ג",3185,12,יחידות,לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",24.99,0,0,0,כן,מוצר,,
"שוקולד חלב 5 ק״ג",1010101,5,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",225,0,0,0,כן,מוצר,,
"שקד פרוס 1 ק״ג",3570,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",46,0,0,0,כן,מוצר,,
"שמנת להקצפה",120102,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",7,14.53,0,,לא,מוצר,,
קולאז,0100,5,"ק""ג",לא,,,,בצקים,"קולאז קנאפה",100,0,0,,כן,מוצר,,
קדאיף,01001,5,"ק""ג",לא,,,,בצקים,"קולאז קנאפה",100,0,0,,כן,מוצר,,
"פריגת תפוזים 330 מ""ל",10044,330,"מ""ל",כן,ארגז,בקבוקים,24,"משקאות קלים","החברה המרכזית למשקאות בעמ",83.49,0,6.103,,כן,"מארז + יחידת מידה במארז",7290001594988,
"פריגת תות בננה 330 מ""ל",32516,330,"מ""ל",כן,ארגז,בקבוקים,24,"משקאות קלים","החברה המרכזית למשקאות בעמ",81.62,0,6.103,,כן,"מארז + יחידת מידה במארז",7290013585639,
