"שם מוצר","מק""ט",כמות,"יחידת מידה","האם מגיע במארז","צורת מארז","יחידת מידה במארז","מספר פריטים במארז",קטגוריה,ספק,"מחיר מחירון","אחוז הנחה",פיקדון,מיסים,"מוצר חייב במע""מ","צורת ספירת מלאי","ברקוד יצרן","הגבלת כמות להזמנה"
"סומאק 1 ק״ג",877300006052,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",28,0,0,,כן,ללא,,
"פירורי לחם אסם 10 ק״ג",7290000063713,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",79,0,0,,כן,ללא,,
"פירורי לחם דווידוביץ 10 ק״ג",7290016670004,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",60,0,0,,כן,ללא,,
"פנקו 1 ק״ג",7290019760337,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",13,0,0,,כן,ללא,,
"קטשוף לחיץ הינץ",8715700419732,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",9.5,0,0,,כן,ללא,,
"קטשוף הינץ 13 ק״ג",013000511902,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",130,0,0,,כן,ללא,,
"קינואה 1 ק״ג",7290019216605,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",12,0,0,,כן,ללא,,
"ארטישוק אלה רומנה",8001,2.6,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",60,0,0,,כן,ללא,,
"תרכיז רימונים 1 ק״ג",7290011482527,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",20,0,0,,כן,ללא,,
"שומשום לבן 1 ק״ג",7290012121112,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",11,0,0,,כן,ללא,,
"תבלין פלדלפיה",877300005864,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",28.8,0,0,,כן,ללא,,
"אלף האיים גלון תמרה",7290112010,3.9,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",36.5,0,0,,כן,שקיל,,
"אלף האיים מנות הלמנז",534404,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",150,0,0,,כן,ללא,,
"אננס שלם",7290008969840,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",7.5,0,0,,כן,ללא,,
"בורגול עבה",7290006439826,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",5.3,0,0,,כן,ללא,,
"תירס יכין",7290000208329,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",5.4,0,0,,כן,ללא,,
"זיתים קלמטה",6934932206060,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",22.4,0,0,,כן,ללא,,
"חרדל אמריקאי",04150081938,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",50,0,0,,כן,ללא,,
"מיונז מנות הינץ",10808875001077,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",120,0,0,,כן,ללא,,
"מוינז לחיץ הינץ",8715700422475,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",10.5,0,0,,כן,ללא,,
"עמבה דלי",877300005505,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",27,0,0,,כן,ללא,,
"פלפל שחור גרוס 1 ק״ג",877300005093,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",49,0,0,,כן,ללא,,
"פלפל שחור טחון",877300005154,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",46,0,0,,כן,ללא,,
"פלפל שטה גרוס",877300005147,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",34,0,0,,כן,ללא,,
"פפריקה מעושנת",877300006298,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",28,0,0,,כן,ללא,,
"פפריקה מתוקה",877300005178,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",22,0,0,,כן,ללא,,
"ציפוטלי 2.8 ק״ג",7501023318019,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",65,0,0,,כן,ללא,,
"צילי מתוק מקצוף",8850367990207,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",60,0,0,,כן,ללא,,
"צילי מתוק שמש",7290013266576,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",36.5,0,0,0,כן,ללא,,
"קטשוף מנות הינץ",8715700419480,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",195,0,0,,כן,ללא,,
"קמח תפוח אדמה",7290001050019,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",5.5,0,0,,כן,ללא,,
"שום כתוש",7290112014375,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",39,0,0,0,כן,ללא,,
"ברבקיו תמרה",7290112015051,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",42,0,0,0,כן,ללא,,
"סויה ימאסה 18 ליטר",4903001016680,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",210,0,0,0,כן,ללא,,
"רוטב טריאקי תמרה",7290112016171,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",0,0,0,0,כן,ללא,,
"קמח קרטון 10 ק״ג",7290002460060,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",28,0,0,,כן,ללא,,
"סוכר סוגת חבילה 10 ק״ג",7290000211503,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",38,0,0,,כן,ללא,,
"מלח שולחן חבילה 12 ק״ג",7290004063344,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",20,0,0,,כן,ללא,,
"חומץ סינטטי 4 ליטר",7290011556181,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",6,0,0,,כן,ללא,,
"חומץ יכין 4 ליטר",201,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",15,0,0,,כן,ללא,,
"קטשופ לחיץ הינץ 1 יח׳",7,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",9.5,0,0,,כן,ללא,,
"קטשופ פאוץ שק׳ 13 קג הינץ",5,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",130,0,0,,כן,ללא,,
"סיראצה גדול",406,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",29,0,0,,כן,ללא,,
"חומוס שלם",7290000514406,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",3.5,0,0,,כן,ללא,,
"שקד פרוס 1קילו",219,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",40,0,0,,כן,ללא,,
"כדורי פירה קרטון",248,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",251.15,0,0,,כן,ללא,,
"שוקולד ורד הגליל",254,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",305,0,0,,כן,ללא,,
דלעת,183,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",5.5,0,0,0,כן,ללא,,
בצל,98,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",2.2,0,0,0,כן,ללא,,
סמיט,31,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",10.5,0,0,0,כן,ללא,,
קלמנטינה,34,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",6.5,0,0,0,כן,ללא,,
"רוטב חריף סריראצ'ה 481 גרם",24463061095,1,יחידות,לא,,,1,"חומרי ניקוי","מנטור פוד בעמ",23.73,0,0,,כן,ללא,,
"קנור מרק בטעם פטריות 1 ק״ג",7290107649475,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",33.9,0,0,,כן,מוצר,,
"חומץ יכין 4 ליטר",574,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",15,0,0,,כן,ללא,,
"מרק עוף קנור 1 קג",582,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",14,0,0,,כן,ללא,,
"שקד פרוס 1 קג",579,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",40,0,0,,כן,ללא,,
"מלח לימון",434,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",12,0,0,,כן,ללא,,
"מרק בקר 1 קג","575 24",1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",37,0,0,,כן,ללא,,
"מוצרלה אצבעות",2504815027453,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",40,0,0,,כן,שקיל,,
"גבינת צ׳דר אירית פרוסה-שקיל מנ",74250164,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",45,0,0,,כן,ללא,,
"צהובה גאודה פרוסה מארז 1 ק״ג",5900512110042,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",29,0,0,,כן,מוצר,,
"מוצרלה מגורדת 2 ק״ג ארלה",5711953124266,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",56,0,0,,כן,שקיל,,
"רוטב צ׳ילי סריראצ'ה 540 גרם",71125,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",23.73,0,0,0,כן,ללא,,
"מוצר כללי שמנת מתוקה תנובה",11111111,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",105,0,0,0,כן,ללא,,
"בוקס בורגר משפחתי 50 יח קריספי",000722235365,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",4.64,0,0,0,כן,מוצר,,
"נייר עטיפה לבן 40 ג'ר 30*40 קריספי 1*10",729000866908,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",31,0,0,0,כן,מוצר,,
"סט סכו״ם 6 חלקים - עץ 6*350",35417,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.65,0,0,0,כן,מוצר,,
"מוצרלה פרוס",55555,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",34,0,0,,כן,שקיל,,
"דלי מגבון",1,1,יחידות,לא,,,1,"חד פעמי ואריזות","מפעל המרכז",11,0,0,0,כן,ללא,,
כמון,313,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",26.8,0,0,,כן,ללא,,
"מרק בקר 1 קג",575,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",37,0,0,0,כן,ללא,,
"סיראצה קרטון",577,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",210,0,0,,כן,ללא,,
"מרק פטריות 1 קג",580,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",34,0,0,,כן,ללא,,
"צנובר 1 קג","584 33",1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",92,0,0,,כן,ללא,,
"גרעיני תירס קיד 12 OZ יכין",110024611,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",4.66,0,0,0,כן,ללא,,
"צנובר סיני ארוז 1 קֿ״ג חיידר",10446,1,"ק""ג",לא,,,,"יבשים וקונדיטוריה","מנטור פוד בעמ",98,0,0,,כן,שקיל,,
"רוטב אלף האיים לסלט 5.1 ק״ג הלמנס",10696,5.1,"ק""ג",כן,מארז,יחידות,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",79,0,0,,כן,שקיל,,
"חרדל דיזון 5 ק״ג",90916,5,"ק""ג",כן,מארז,יחידות,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",57,0,0,,כן,שקיל,,
"ארטישוק אלה רומנה שלם בשמן",8051597338832,2.65,"ק""ג",כן,מארז,יחידות,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",65,0,0,,כן,שקיל,,
"זית קלמטה חצוי 10 ק״ג - פח אדום",233,10,"ק""ג",כן,מארז,יחידות,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",230,0,0,,כן,מארז,,
"אבקת סוכר 1 ק״ג פרימיום",7290001050064,1,"ק""ג",לא,,,,"יבשים וקונדיטוריה","מנטור פוד בעמ",9,0,0,,כן,שקיל,,
"אורגנו יבש 1 ק״ג - נווה",102100,1,"ק""ג",כן,מארז,יחידות,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",24,0,0,,כן,שקיל,,
"פלפל שחור גרוס דק 1 ק״ג נווה",1000164,1,"ק""ג",לא,,,,"יבשים וקונדיטוריה","מנטור פוד בעמ",49,0,0,,כן,מוצר,,
"תערובת פילדלפיה 1 ק״ג - נווה",1011651,1,"ק""ג",לא,,,,"יבשים וקונדיטוריה","מנטור פוד בעמ",25,0,0,,כן,שקיל,,
"חומץ סינטטי לבן 4 ליטר",11021,4,ליטר,כן,ג'ריקן,יחידות,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",6.24,0,0,,כן,שקיל,,
"קינואה אדומה 5 ק״ג שוקחה",1509235,5,"ק""ג",כן,שקית,יחידות,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",72.35,0,0,,כן,שקיל,,
"רוטב סויה יאמאסה פרימיום 1.8 ליטר",15005,1.8,ליטר,כן,בקבוק,יחידות,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",28.24,0,0,,כן,שקיל,,
"סירופ רימונים 1 ליטר 12/1",24687,1,ליטר,כן,בקבוק,יחידות,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",28.99,0,0,,כן,שקיל,,
"צלפים במי מלח 95 גרם",7290019934455,1,יחידות,לא,,,,"יבשים וקונדיטוריה","מנטור פוד בעמ",8.82,0,0,,כן,מוצר,,
"קפוא תפוגן גלגולי פירה 2 ק״ג",66727,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",50,0,0,0,כן,ללא,,
"תפוח אדמה",12,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",30,0,0,0,כן,ללא,,
"סלק ארוז",32,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",10,0,0,0,כן,ללא,,
בזילקום,101,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",30,0,0,0,כן,ללא,,
גזר,95,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",4.5,0,0,0,כן,ללא,,
"תפוח אדמה לבן",80,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",30,0,0,0,כן,ללא,,
זעתר,141,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",30,0,0,0,כן,ללא,,
"קוקה קולה 1.5 ליטר",32178,1,יחידות,כן,מארז,בקבוקים,12,"משקאות קלים","החברה המרכזית למשקאות בעמ",78.26,0,0,0,כן,"מארז + יחידת מידה במארז",7290110115203,
"סירראצה יח׳",184,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",18.5,0,0,0,כן,ללא,,
"צנובר 1 קג",584,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",95,0,0,,כן,ללא,,
"מרק עוף",276,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",14,0,0,0,כן,ללא,,
"רוטב טריאקי 6.4 ק״ג קנור",10697,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",110,0,0,0,כן,ללא,,
שומר,7,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",6.5,0,0,0,כן,ללא,,
"ערכת בקר",061,1,"ק""ג",לא,,,,בשר,אמיגוס,43,0,0,,כן,שקיל,,
"אגרה וטרינריט",033,1,יחידות,לא,,,,בשר,אמיגוס,0.29,0,0,,כן,מוצר,,
אסאדו,045,1,"ק""ג",לא,,,,בשר,אמיגוס,38,0,0,,כן,מוצר,,
"לב אונטריפ",371,1,"ק""ג",לא,,,,בשר,אמיגוס,50,0,0,,כן,שקיל,,
"פילה עוף טרי",13,1,"ק""ג",לא,,,,בשר,"מ.ד מעדני בשר",29,0,0,,כן,שקיל,,
"קוביות עוף קפוא",14,1,"ק""ג",לא,,,,בשר,"מ.ד מעדני בשר",30,0,0,,כן,שקיל,,
"דלי מגבונים",212121,1,יחידות,לא,,,,"חומרי ניקוי",לואלואה,8.4746,0,0,,כן,מוצר,,
"מסיר שומנים",121213,4,ליטר,לא,,,,"חומרי ניקוי",לואלואה,16.9492,0,0,,כן,שקיל,,
"גליל נייר תעשייתי 5 קג 1000מטר",121214,1,יחידות,לא,,,,"חומרי ניקוי",לואלואה,44.9153,0,0,,כן,מוצר,,
"מבריק ומנקה חלונות",121215,1,יחידות,לא,,,,"חומרי ניקוי",לואלואה,8.4746,0,0,,כן,מוצר,,
"שמפו רצפות סנט מוריץ 4 ליטר",121216,4,ליטר,לא,,,,"חומרי ניקוי",לואלואה,11.0169,0,0,,כן,מוצר,,
"נייר טואלט סופת",121217,1,שקית,לא,,,,"חומרי ניקוי",לואלואה,23.728,0,0,,כן,מוצר,,
"משחט כלים 18 ק״ג",121219,18,"ק""ג",לא,,,,"חומרי ניקוי",לואלואה,67.7966,0,0,,כן,מוצר,,
"כדורי פירה בד״צ 1 ק״ג /10 יח",91000981,1,"ק""ג",כן,ארגז,שקיות,10,קפואים,"קפוא זן",169,0,0,,כן,מארז,,
"חזה טלה - ברוסט",135,1,"ק""ג",לא,,,,בשר,"קפוא זן",55,0,0,,כן,שקיל,,
"פלפל שחור טחון 1 קג",3093649,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",28,0,0,0,כן,שקיל,,
"שמן חמניות 5 ליטר",4603739334932,5,ליטר,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",30.89,0,0,0,כן,שקיל,,
"מיונז הלמנס אורגינל 3.4",111001,3.4,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",66.89,0,0,0,כן,מוצר,,
"גרעיני תירס מתוק 550 גרם",208329,0.55,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",5.25,0,0,0,כן,שקיל,,
"טבעות בצל 2 ק״ג",7290011860851,2,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",46.84,0,0,0,כן,שקיל,,
"נוזל ביצים מפוסטר מעורב",7296073599401,1,ליטר,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",18.89,0,0,,כן,מוצר,,
"חזה עוף פרוס",פ1,1,"ק""ג",לא,,,1,בשר,"פ.ר.פ שיווק בע״מ",28,0,0,,כן,שקיל,,
"פילה עוף",פ2,1,"ק""ג",לא,,,1,בשר,"פ.ר.פ שיווק בע״מ",26,0,0,,כן,שקיל,,
"קוביות חזה עוף",ק3,1,"ק""ג",לא,,,1,בשר,"פ.ר.פ שיווק בע״מ",29,0,0,,כן,שקיל,,
"כנף עוף",פ4,1,"ק""ג",לא,,,1,בשר,"פ.ר.פ שיווק בע״מ",12.5,0,0,,כן,שקיל,,
"רצועות חזה עוף קפוא",ק5,1,"ק""ג",לא,,,1,בשר,"פ.ר.פ שיווק בע״מ",28,0,0,,כן,שקיל,,
"לב אסאדו",372,1,"ק""ג",לא,,,1,בשר,אמיגוס,38,0,0,0,כן,מוצר,,
"ערכת בשר בקר אסאדו אונטריפ, אנטרקוט",061-01,1,"ק""ג",לא,,,1,בשר,אמיגוס,40,0,0,0,כן,מוצר,,
"פלפל שיפקה חריף 9 ליטר",24701,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",35,0,0,0,כן,שקיל,,
"חמוציות חתוך 1 ק״ג - כשר",62626,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",25,0,0,0,כן,ללא,,
"רוטב ברבקיו קנור 5.7 ק''ג",50601,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",81,0,0,0,כן,ללא,,
"מנה אישית - מיונז * 900 יחידות",81005035,1,יחידות,לא,,,1,קפואים,"קפוא זן",172.5,0,0,0,כן,ללא,,
"מנה אישית - קטשופ * 900 יחידות",81005033,1,יחידות,לא,,,1,קפואים,"קפוא זן",110,0,0,0,כן,ללא,,
"יוגורט תנובה כד 1.5 ליטר 4%",7290000043944,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",16.1,0,0,0,כן,ללא,,
"טבעות בצל 1 ק״ג - תיבולים מהכפ",762497334104,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",20.34,0,0,0,כן,ללא,,
"חסה אלונים 500 גרם",40141,0.5,"ק""ג",לא,,,1,"ירקות פירות ועשבי תיבול","עונות ישראל",8,0,0,0,לא,ללא,,
"פסגה אקונומיקה",אקו,1,יחידות,לא,,,1,"חומרי ניקוי",לואלואה,8.4746,0,0,0,כן,מוצר,,
"מיקרופייבר שיש 10 יח",מיקרו,1,יחידות,לא,,,1,"חומרי ניקוי",לואלואה,12.7119,0,0,0,כן,מוצר,,
"גט חומץ חומר חיטוי",גט,1,יחידות,לא,,,1,"חומרי ניקוי",לואלואה,11.0169,0,0,0,כן,מוצר,,
"כפפות ניטריל",כפפות,1,יחידות,לא,,,1,"חומרי ניקוי",לואלואה,11.0169,0,0,0,כן,מוצר,,
"טורמוס קפה 1.5 ליטר",טורמוס,1,יחידות,לא,,,1,"חומרי ניקוי",לואלואה,33.893,0,0,0,כן,מוצר,,
"מטלית רוזה חדש",מטלית,1,יחידות,לא,,,1,"חומרי ניקוי",לואלואה,8.4746,0,0,0,כן,מוצר,,
"שמן קנולה 5 ליטר",1855195,5,ליטר,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",31.99,0,0,0,כן,מוצר,,
"אנדיב אדום יח",40147,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","עונות ישראל",0,0,0,0,לא,מוצר,,
"בוטנים גרוסים קלויים 1 ק",7290015775328,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",21,0,0,0,כן,מוצר,,
"נוזל כלים למדיח",604204,24,"ק""ג",לא,,,1,"חומרי ניקוי",סילקו,199.5,0,0,0,כן,מוצר,,
"נוזל להסרת שומנים פרו 109 סאסא 4 ליטר",600307,16,ליטר,לא,,,1,"חומרי ניקוי",סילקו,80,0,0,0,כן,מוצר,,
"שמנת מתוקה עמידה 250 מ״ל",43814,0.25,"ק""ג",לא,,,1,"מוצרי חלב וגבינות","מנטור פוד בעמ",6.4,0,0,0,כן,מוצר,,
"לחם קסטן",102010,1,יחידות,לא,,,,"לחמניות ולחמים","תנור אל רחמה",28,0,0,,כן,מוצר,,
"צ׳דר כתום מלקוביטה- פרוס",35658722,1,"ק""ג",לא,,,,"מוצרי חלב וגבינות","מנטור פוד בעמ",38,0,0,,כן,מוצר,,
"פוטטו צ׳יפס 2.5",5412588000337,2.5,"ק""ג",לא,,,,קפואים,"מנטור פוד בעמ",32.5,0,0,,כן,מוצר,,
"קריספי קלאסי קלאסי מ2.5 ק״ג",7290012245282,2.5,"ק""ג",לא,,,,קפואים,"מנטור פוד בעמ",35.9,0,0,,כן,מוצר,,
"חומוס שלם a2 עדן",7290010962051,1,יחידות,לא,,,,"יבשים וקונדיטוריה","מנטור פוד בעמ",3.8,0,0,,כן,מוצר,,
"פטה פח 4קג- קוליוס יוון",5201704058112,4,"ק""ג",לא,,,,"יבשים וקונדיטוריה","מנטור פוד בעמ",110,0,0,,כן,מוצר,,
"שמנת מתוקה 38% 500 מ״ל",58047,0.5,"ק""ג",לא,,,1,"מוצרי חלב וגבינות","מנטור פוד בעמ",12.71,0,0,0,כן,מוצר,,
"עדשים אדומים 25 ק״ג",10303,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",6,0,0,0,כן,מוצר,,
"אורז בסמתי גולאן 1/20",10912,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",6,0,0,0,כן,מוצר,,
"תמרים 403 גמל 5 ק",25103,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",22,0,0,0,לא,מוצר,,
"דזוגס 180 גר 12 חודשים",4770299047890,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",15,0,0,0,כן,מוצר,,
"חרדל אמריקאי אמיתי- פלוכמן 3",68418,3,"ק""ג",לא,,,,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",60,0,0,,כן,מוצר,,
אורגנו,17487137,1,נספק,לא,,,,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",6.5,0,0,,כן,מוצר,,
"עגבניה ביף שחורה ק""ג",46134,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",9.3,0,0,,כן,שקיל,,
"פרמזן איטלקי",60110,1,"ק""ג",לא,,,,"מוצרי חלב וגבינות",אמיגוס,71,0,0,,כן,שקיל,,
"צ׳דר כתום",60135,1,"ק""ג",לא,,,,"מוצרי חלב וגבינות",אמיגוס,40,0,0,,כן,שקיל,,
"לבנה 4 ק״ג - וואיט",45632,1,יחידות,לא,,,1,"מוצרי חלב וגבינות","בני מאלק סוידאן בעמ",21,0,0,0,כן,ללא,,
"חזה טלה - ברוסט",135,1,"ק""ג",לא,,,1,בשר,אמיגוס,55,0,0,0,כן,שקיל,,
"TEN XL ללא סוכר פחית",3004843,250,"מ""ל",כן,מארז,יחידות,24,"משקאות קלים",טמפו,87.2,36,1.01667,,כן,"יחידת מידה במארז",5902198160403,
"שמנת מתוקה 42% טרה 2 ליטר",7290102398089,2,"ק""ג",לא,,,1,"מוצרי חלב וגבינות","מנטור פוד בעמ",63,0,0,0,כן,שקיל,,
"עדשים אדום גרוסים כשר5ק",2954125,5,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",26,0,0,0,כן,מוצר,,
